player_name,player_name_clean,draft_year,college_season,position,position_group,school,countable_plays,avg_ppa_all,total_ppa_all,total_ppa_pass,total_ppa_rush,career_avg_ppa,career_total_ppa,ppa_per_play,pass_ppa_share,rush_ppa_share
Jehu Chesson,jehu chesson,2017,2013,WR,WR,michigan,18.0,0.787,14.174,15.014,-0.84,2.065,108.681,0.7874444444444444,1.0,0.0
Jeremy Mcnichols,jeremy mcnichols,2017,2014,RB,RB,boise state,33.0,0.536,17.7,8.41,9.291,1.049,184.209,0.5363636363636364,0.4751412429378531,0.5249152542372881
Joe Mixon,joe mixon,2017,2015,RB,RB,oklahoma,144.0,0.358,51.58,26.747,24.833,0.718,133.91199999999998,0.3581944444444444,0.5185537029856534,0.4814462970143466
John Ross,john ross,2017,2013,WR,WR,washington,21.0,0.643,13.504,12.695,0.808,1.894,112.53,0.643047619047619,0.9400918246445498,0.0598341232227488
Jonnu Smith,jonnu smith,2017,2013,TE,TE,florida international,41.0,0.644,26.406,26.406,0.0,2.153,114.543,0.6440487804878049,1.0,0.0
Josh Malone,josh malone,2017,2014,WR,WR,tennessee,45.0,0.129,5.81,7.418,-1.607,1.712,106.507,0.1291111111111111,1.0,0.0
Joshua Dobbs,joshua dobbs,2017,2013,QB,QB,tennessee,143.0,0.106,15.173,6.843,8.33,1.038,414.096,0.1061048951048951,0.450998484149476,0.5490015158505239
Juju Smith-Schuster,juju smithschuster,2017,2015,WR,WR,usc,131.0,0.779,102.052,102.219,-0.167,1.4420000000000002,169.06,0.7790229007633588,1.0,0.0
Kareem Hunt,kareem hunt,2017,2013,RB,RB,toledo,145.0,0.208,30.149,0.33,29.82,0.954,201.206,0.2079241379310344,0.0109456366711997,0.9890875319247736
Kenny Golladay,kenny golladay,2017,2015,WR,WR,northern illinois,135.0,0.58,78.256,78.979,-0.723,0.975,136.264,0.5796740740740741,1.0,0.0
Kyle Williams,kyle williams,2017,2017,WR,WR,arizona state,95.0,0.55,52.242,50.153,2.089,1.401,103.098,0.5499157894736841,0.9600130163470004,0.0399869836529995
Leonard Fournette,leonard fournette,2017,2014,RB,RB,lsu,193.0,0.166,31.983,9.431,22.553,0.623,149.48000000000002,0.1657150259067357,0.2948754025576087,0.7051558640527781
Malachi Dupre,malachi dupre,2017,2014,WR,WR,lsu,28.0,0.338,9.476,9.476,0.0,1.8200000000000005,108.515,0.3384285714285714,1.0,0.0
Marlon Mack,marlon mack,2017,2014,RB,RB,south florida,231.0,0.071,16.434,6.744,9.691,0.575,120.866,0.0711428571428571,0.4103687477181452,0.5896921017402945
Mason Schreck,mason schreck,2017,2013,TE,TE,buffalo,22.0,0.383,8.431,8.431,0.0,1.529,69.388,0.3832272727272727,1.0,0.0
Matthew Dayes,matthew dayes,2017,2015,RB,RB,nc state,160.0,0.316,50.484,8.677,41.808,0.385,70.152,0.315525,0.171876238016005,0.828143570240076
Mike Williams,mike williams,2017,2013,WR,WR,clemson,17.0,1.252,21.29,21.29,0.0,3.908,189.404,1.2523529411764704,1.0,0.0
Robert Davis,robert davis,2017,2013,WR,WR,georgia state,54.0,0.719,38.814,38.814,0.0,2.202,185.697,0.7187777777777777,1.0,0.0
Ryan Switzer,ryan switzer,2017,2013,WR,WR,north carolina,35.0,0.579,20.253,20.755,-0.502,2.14,175.865,0.5786571428571429,1.0,0.0
Samaje Perine,samaje perine,2017,2014,RB,RB,oklahoma,276.0,0.326,90.051,12.149,77.901,0.779,190.889,0.3262717391304348,0.1349124385070682,0.865076456674551
Stacy Coley,stacy coley,2017,2013,WR,WR,miami,24.0,0.916,21.988,21.639,0.35,2.244,123.891,0.9161666666666668,0.9841277060214664,0.0159177733309077
Taywan Taylor,taywan taylor,2017,2013,WR,WR,western kentucky,26.0,0.658,17.115,17.115,0.0,3.275,267.81,0.6582692307692307,1.0,0.0
Trent Taylor,trent taylor,2017,2013,WR,WR,louisiana tech,28.0,0.679,19.022,19.022,0.0,3.017,311.086,0.6793571428571428,1.0,0.0
Wayne Gallman,wayne gallman,2017,2014,RB,RB,clemson,191.0,0.012,2.382,0.005,2.377,0.346,98.031,0.0124712041884816,0.0020990764063811,0.9979009235936188
Zay Jones,zay jones,2017,2016,WR,WR,east carolina,223.0,0.523,116.622,117.118,-0.496,0.523,116.622,0.5229686098654709,1.0,0.0
Antonio Callaway,antonio callaway,2018,2015,WR,WR,florida,69.0,0.488,33.68,32.223,1.457,0.982,77.12899999999999,0.4881159420289855,0.9567399049881234,0.0432600950118764
